,epochs,training losses
0,1,5.9320243793521215
1,2,1.4609707824221327
2,3,0.8485743686242169
3,4,0.7532474760692878
4,5,0.6328061353867264
5,6,0.5276949252103204
6,7,0.44888456404359417
7,8,0.40893888783462407
8,9,0.35930405853018565
9,10,0.3250222193107145
10,11,0.29637186733135246
11,12,0.27525185678345604
12,13,0.25838412172573433
13,14,0.23680686794298889
14,15,0.22739819506300085
15,16,0.20851785728101507
16,17,0.20143486333502003
17,18,0.1875149192229228
18,19,0.17950551652810642
19,20,0.17105675135788165
20,21,0.16428536059510396
21,22,0.15576123191455243
22,23,0.148703660633975
23,24,0.1428482315910753
24,25,0.1366433992610908
25,26,0.1304792626175338
26,27,0.1264167981045576
27,28,0.11970384690406906
28,29,0.11731004149656246
29,30,0.11168339697416935
30,31,0.1092429683915625
31,32,0.10428182701611045
32,33,0.1021590058372162
33,34,0.09728504919405619
34,35,0.09476126291226447
35,36,0.09158529736057013
36,37,0.08884321384571006
37,38,0.08646648677034856
38,39,0.08389732813749673
39,40,0.08193707937392909
40,41,0.0789840514438501
41,42,0.07755743303027132
42,43,0.07468588192460855
43,44,0.07386458547256965
44,45,0.07062116068289778
45,46,0.07007401072021881
46,47,0.0679553279919116
47,48,0.06643368312639936
48,49,0.0646325990092743
49,50,0.06321432565864595
50,51,0.061283159675825066
51,52,0.06094735103086684
52,53,0.059227617249700534
53,54,0.05815609239436289
54,55,0.05687531656410993
55,56,0.056348409276517866
56,57,0.05490923576759045
57,58,0.05443152026330546
58,59,0.052597577655156665
59,60,0.05215599027682733
60,61,0.05143002149514828
61,62,0.050883296540190734
62,63,0.049295718356934096
63,64,0.04945964099333897
64,65,0.04755233646289167
65,66,0.047984829770088236
66,67,0.04633944519944289
67,68,0.0471005200831354
68,69,0.045243260503787366
69,70,0.04529887823381523
70,71,0.044033204432808185
71,72,0.04368995440189879
72,73,0.04261499650604974
73,74,0.04344682256273486
74,75,0.04114986312147987
75,76,0.04161123008597284
76,77,0.04028508698716267
77,78,0.04061672131225979
78,79,0.03918360060288107
79,80,0.04019358876905924
80,81,0.03867878137743984
81,82,0.03921993917780008
82,83,0.03802828054336242
83,84,0.037784173711019005
84,85,0.03713041831575759
85,86,0.03697139366972796
86,87,0.03623893672586887
87,88,0.03629438107374796
88,89,0.03544332656987056
89,90,0.03571581505321194
90,91,0.03496172300047099
91,92,0.03518265148808518
92,93,0.03406713197164512
93,94,0.034097347947132824
94,95,0.03358137698886928
95,96,0.03346575146351389
96,97,0.032906983925626646
97,98,0.03279245877653135
98,99,0.03253462928028239
99,100,0.032290903125527695
